timestamp,power_mW,under_attack
2025-06-02T21:10:58.265087,6508,1
2025-06-02T21:10:59.296904,6493,1
2025-06-02T21:11:00.338376,6493,1
2025-06-02T21:11:01.368834,6389,1
2025-06-02T21:11:02.402180,6389,1
2025-06-02T21:11:03.431299,6516,1
2025-06-02T21:11:04.464049,6516,1
2025-06-02T21:11:05.505912,6633,1
2025-06-02T21:11:06.534347,6633,1
2025-06-02T21:11:07.563750,6702,1
2025-06-02T21:11:08.607258,6702,1
2025-06-02T21:11:09.636149,6683,1
2025-06-02T21:11:10.681220,6683,1
2025-06-02T21:11:11.710210,6696,1
2025-06-02T21:11:12.740368,6771,1
2025-06-02T21:11:13.769313,6771,1
2025-06-02T21:11:14.808740,6717,1
2025-06-02T21:11:15.837380,6717,1
2025-06-02T21:11:16.866269,6690,1
2025-06-02T21:11:17.896801,6690,1
2025-06-02T21:11:18.926239,6758,1
2025-06-02T21:11:19.956297,6758,1
2025-06-02T21:11:20.997718,6724,1
2025-06-02T21:11:22.027151,6724,1
2025-06-02T21:11:23.072284,6698,1
2025-06-02T21:11:24.100976,6698,1
2025-06-02T21:11:25.129465,6774,1
2025-06-02T21:11:26.159774,6774,1
2025-06-02T21:11:27.189147,6617,1
2025-06-02T21:11:28.225831,6617,1
2025-06-02T21:11:29.254549,6774,1
2025-06-02T21:11:30.283247,6774,1
2025-06-02T21:11:31.311431,6738,1
2025-06-02T21:11:32.340323,6738,1
2025-06-02T21:11:33.369309,6708,1
2025-06-02T21:11:34.412129,6708,1
2025-06-02T21:11:35.441253,6509,1
2025-06-02T21:11:36.485312,6509,1
2025-06-02T21:11:37.516011,6509,1
2025-06-02T21:11:38.544947,6509,1
2025-06-02T21:11:39.573511,6443,1
2025-06-02T21:11:40.601544,6443,1
2025-06-02T21:11:41.647304,6531,1
2025-06-02T21:11:42.675837,6531,1
2025-06-02T21:11:43.704458,6600,1
2025-06-02T21:11:44.754462,6600,1
2025-06-02T21:11:45.783167,6471,1
2025-06-02T21:11:46.811808,6491,1
2025-06-02T21:11:47.852859,6491,1
2025-06-02T21:11:48.882104,6558,1
2025-06-02T21:11:49.912357,6558,1
2025-06-02T21:11:50.945349,6484,1
2025-06-02T21:11:51.977631,6484,1
2025-06-02T21:11:53.007278,6472,1
2025-06-02T21:11:54.048653,6472,1
2025-06-02T21:11:55.077175,6452,1
2025-06-02T21:11:56.123030,6452,1
2025-06-02T21:11:57.153151,6465,1
2025-06-02T21:11:58.195739,6465,1
2025-06-02T21:11:59.224929,6740,0
2025-06-02T21:12:00.255797,6740,0
2025-06-02T21:12:01.284257,6414,0
2025-06-02T21:12:02.320670,6414,0
2025-06-02T21:12:03.357934,6486,0
2025-06-02T21:12:04.386269,6486,0
2025-06-02T21:12:05.416187,6499,0
2025-06-02T21:12:06.463216,6499,0
2025-06-02T21:12:07.491788,6484,0
2025-06-02T21:12:08.521828,6484,0
2025-06-02T21:12:09.562538,6405,0
2025-06-02T21:12:10.591326,6405,0
2025-06-02T21:12:11.620286,6435,0
2025-06-02T21:12:12.650024,6435,0
2025-06-02T21:12:13.678656,6454,0
2025-06-02T21:12:14.710602,6454,0
2025-06-02T21:12:15.745259,6470,0
2025-06-02T21:12:16.774034,6436,0
2025-06-02T21:12:17.803452,6436,0
2025-06-02T21:12:18.832036,6430,0
2025-06-02T21:12:19.878613,6430,0
2025-06-02T21:12:20.909337,6428,0
2025-06-02T21:12:21.952520,6428,0
2025-06-02T21:12:22.981905,6502,0
2025-06-02T21:12:24.043777,6502,0
2025-06-02T21:12:25.078045,6509,0
2025-06-02T21:12:26.107327,6509,0
2025-06-02T21:12:27.148027,6527,0
2025-06-02T21:12:28.179897,6527,0
2025-06-02T21:12:29.221607,6520,0
2025-06-02T21:12:30.252287,6520,0
2025-06-02T21:12:31.283035,6466,0
2025-06-02T21:12:32.313270,6466,0
2025-06-02T21:12:33.348766,6490,0
2025-06-02T21:12:34.385654,6490,0
2025-06-02T21:12:35.415725,6412,0
2025-06-02T21:12:36.444659,6412,0
2025-06-02T21:12:37.473764,6386,0
2025-06-02T21:12:38.514421,6386,0
2025-06-02T21:12:39.544287,6487,0
2025-06-02T21:12:40.587725,6487,0
2025-06-02T21:12:41.615954,6506,0
2025-06-02T21:12:42.645394,6506,0
2025-06-02T21:12:43.673999,6436,0
2025-06-02T21:12:44.702702,6436,0
2025-06-02T21:12:45.738276,6420,0
2025-06-02T21:12:46.768302,6410,0
2025-06-02T21:12:47.800392,6410,0
2025-06-02T21:12:48.829000,6432,0
2025-06-02T21:12:49.858108,6432,0
2025-06-02T21:12:50.886865,6393,0
2025-06-02T21:12:51.928797,6393,0
2025-06-02T21:12:52.957745,6477,0
2025-06-02T21:12:53.987218,6477,0
2025-06-02T21:12:55.026306,6539,0
2025-06-02T21:12:56.055305,6539,0
2025-06-02T21:12:57.084316,6471,0
2025-06-02T21:12:58.113087,6471,0
2025-06-02T21:12:59.142633,6460,0
2025-06-02T21:13:00.188683,6460,0
2025-06-02T21:13:01.217993,6452,0
2025-06-02T21:13:02.247061,6452,0
2025-06-02T21:13:03.275813,6437,0
2025-06-02T21:13:04.319222,6437,0
2025-06-02T21:13:05.349214,6472,0
2025-06-02T21:13:06.392688,6472,0
2025-06-02T21:13:07.421601,6776,0
2025-06-02T21:13:08.451378,6776,0
2025-06-02T21:13:09.480506,6741,0
2025-06-02T21:13:10.520688,6741,0
2025-06-02T21:13:11.551303,6537,0
2025-06-02T21:13:12.579943,6537,0
2025-06-02T21:13:13.608764,6418,0
2025-06-02T21:13:14.641976,6418,0
2025-06-02T21:13:15.685502,6436,0
2025-06-02T21:13:16.736933,6436,0
2025-06-02T21:13:17.765852,6358,0
2025-06-02T21:13:18.794321,6385,0
2025-06-02T21:13:19.830078,6385,0
2025-06-02T21:13:20.868427,6519,0
2025-06-02T21:13:21.898516,6519,0
2025-06-02T21:13:22.932988,6441,0
2025-06-02T21:13:23.961825,6441,0
2025-06-02T21:13:25.004014,6495,0
2025-06-02T21:13:26.035540,6495,0
2025-06-02T21:13:27.077178,6421,0
2025-06-02T21:13:28.105911,6421,0
2025-06-02T21:13:29.137807,6465,0
2025-06-02T21:13:30.167085,6465,0
2025-06-02T21:13:31.195827,6482,0
2025-06-02T21:13:32.228134,6482,0
2025-06-02T21:13:33.256882,6471,0
2025-06-02T21:13:34.287740,6471,0
2025-06-02T21:13:35.321051,6466,0
2025-06-02T21:13:36.350293,6466,0
2025-06-02T21:13:37.394385,6394,0
2025-06-02T21:13:38.423168,6394,0
2025-06-02T21:13:39.452092,6482,0
2025-06-02T21:13:40.492188,6482,0
2025-06-02T21:13:41.521218,6447,0
2025-06-02T21:13:42.552196,6447,0
2025-06-02T21:13:43.581994,6456,0
2025-06-02T21:13:44.611713,6456,0
2025-06-02T21:13:45.654416,6479,0
2025-06-02T21:13:46.684247,6479,0
2025-06-02T21:13:47.718189,6420,0
2025-06-02T21:13:48.760860,6420,0
2025-06-02T21:13:49.789817,6471,0
2025-06-02T21:13:50.818319,6454,0
2025-06-02T21:13:51.859983,6454,0
2025-06-02T21:13:52.890705,6438,0
2025-06-02T21:13:53.919334,6438,0
2025-06-02T21:13:54.961889,6447,0
2025-06-02T21:13:55.990834,6447,0
2025-06-02T21:13:57.019327,6473,0
2025-06-02T21:13:58.048225,6473,0
2025-06-02T21:13:59.077711,6432,0
2025-06-02T21:14:00.106335,6432,0
2025-06-02T21:14:01.135337,6457,0
2025-06-02T21:14:02.175157,6457,0
2025-06-02T21:14:03.203758,6430,0
2025-06-02T21:14:04.232385,6430,0
2025-06-02T21:14:05.272715,6484,0
2025-06-02T21:14:06.302103,6484,0
2025-06-02T21:14:07.333761,6439,0
2025-06-02T21:14:08.375441,6439,0
2025-06-02T21:14:09.409159,6419,0
2025-06-02T21:14:10.437919,6419,0
2025-06-02T21:14:11.493654,6656,0
2025-06-02T21:14:12.522401,6656,0
2025-06-02T21:14:13.552054,6730,0
2025-06-02T21:14:14.591058,6730,0
2025-06-02T21:14:15.619910,6686,0
2025-06-02T21:14:16.651951,6686,0
