timestamp,power_W,under_attack
2025-05-23T21:28:49.405612,1420,1
2025-05-23T21:28:50.434280,1535,1
2025-05-23T21:28:51.498735,1535,1
2025-05-23T21:28:52.533378,1568,1
2025-05-23T21:28:53.563383,1568,1
2025-05-23T21:28:54.600708,1568,1
2025-05-23T21:28:55.631040,1602,1
2025-05-23T21:28:56.675411,1602,1
2025-05-23T21:28:57.745498,1602,1
2025-05-23T21:28:58.774611,1719,1
2025-05-23T21:28:59.832609,1719,1
2025-05-23T21:29:00.876540,1681,1
2025-05-23T21:29:01.908961,1681,1
2025-05-23T21:29:02.975821,1681,1
2025-05-23T21:29:04.010232,1614,1
2025-05-23T21:29:05.040279,1614,1
2025-05-23T21:29:06.071143,1614,1
2025-05-23T21:29:07.120036,1668,1
2025-05-23T21:29:08.150444,1668,1
2025-05-23T21:29:09.222730,1637,1
2025-05-23T21:29:10.254086,1637,1
2025-05-23T21:29:11.285015,1637,1
2025-05-23T21:29:12.316083,1538,1
2025-05-23T21:29:13.345167,1538,1
2025-05-23T21:29:14.374403,1627,1
2025-05-23T21:29:15.417210,1627,1
2025-05-23T21:29:16.456665,1627,1
2025-05-23T21:29:17.495462,1695,1
2025-05-23T21:29:18.525943,1632,1
2025-05-23T21:29:19.563350,1632,1
2025-05-23T21:29:20.592473,1632,1
2025-05-23T21:29:21.666652,1574,1
2025-05-23T21:29:22.721846,1574,1
2025-05-23T21:29:23.753800,1583,1
2025-05-23T21:29:24.787722,1583,1
2025-05-23T21:29:25.862858,1583,1
2025-05-23T21:29:26.905520,1578,1
2025-05-23T21:29:27.939522,1578,1
2025-05-23T21:29:28.973304,1656,1
2025-05-23T21:29:30.004145,1656,1
2025-05-23T21:29:31.033831,1656,1
2025-05-23T21:29:32.065379,1612,1
2025-05-23T21:29:33.096982,1612,1
2025-05-23T21:29:34.137516,1635,1
2025-05-23T21:29:35.177826,1635,1
2025-05-23T21:29:36.207624,1635,1
2025-05-23T21:29:37.255536,1635,1
2025-05-23T21:29:38.284426,1635,1
2025-05-23T21:29:39.346013,1635,1
2025-05-23T21:29:40.375331,1565,1
2025-05-23T21:29:41.424726,1565,1
2025-05-23T21:29:42.453717,1565,1
2025-05-23T21:29:43.724518,1573,1
2025-05-23T21:29:44.849312,1673,1
2025-05-23T21:29:45.879533,1673,1
2025-05-23T21:29:46.923395,1673,1
2025-05-23T21:29:47.977474,1572,1
2025-05-23T21:29:49.008262,1572,1
2025-05-23T21:29:58.626980,1638,0
2025-05-23T21:29:59.698841,1638,0
2025-05-23T21:30:00.731116,1207,0
2025-05-23T21:30:01.761984,1207,0
2025-05-23T21:30:02.795799,1430,0
2025-05-23T21:30:03.825757,1430,0
2025-05-23T21:30:04.873459,1430,0
2025-05-23T21:30:05.905951,1628,0
2025-05-23T21:30:06.946970,1628,0
2025-05-23T21:30:07.976945,1504,0
2025-05-23T21:30:09.006159,1504,0
2025-05-23T21:30:10.039337,1580,0
2025-05-23T21:30:11.073268,1580,0
2025-05-23T21:30:12.106163,1580,0
