timestamp,power_W,under_attack
2025-05-25T22:31:24.603879,1649,0
2025-05-25T22:31:25.649862,1649,0
2025-05-25T22:31:26.680979,1667,0
2025-05-25T22:31:27.733424,1667,0
2025-05-25T22:31:28.764797,1667,0
2025-05-25T22:31:29.795116,1653,0
2025-05-25T22:31:30.824731,1653,0
2025-05-25T22:31:31.864974,1640,0
2025-05-25T22:31:32.894855,1640,0
2025-05-25T22:31:33.961827,1640,0
2025-05-25T22:31:34.993966,1662,0
2025-05-25T22:31:36.028412,1662,0
2025-05-25T22:31:37.066383,1680,0
2025-05-25T22:31:38.097409,1680,0
2025-05-25T22:31:39.129047,1657,0
2025-05-25T22:31:40.162560,1657,0
2025-05-25T22:31:41.214451,1657,0
2025-05-25T22:31:42.246934,1666,0
2025-05-25T22:31:43.297890,1666,0
2025-05-25T22:31:44.332555,1706,0
2025-05-25T22:31:45.378018,1706,0
2025-05-25T22:31:46.414535,1689,0
2025-05-25T22:31:47.458990,1689,0
2025-05-25T22:31:48.488667,1689,0
2025-05-25T22:31:49.535645,1728,0
2025-05-25T22:31:50.573530,1728,0
2025-05-25T22:31:51.604892,1728,0
2025-05-25T22:31:52.634670,1694,0
2025-05-25T22:31:53.674143,1694,0
2025-05-25T22:31:54.704832,1652,0
2025-05-25T22:31:55.736517,1652,0
2025-05-25T22:31:56.779131,1652,0
2025-05-25T22:31:57.809533,1639,0
2025-05-25T22:31:58.852325,1639,0
2025-05-25T22:31:59.882906,1639,0
2025-05-25T22:32:00.915173,1680,0
2025-05-25T22:32:01.949631,1680,0
2025-05-25T22:32:02.982473,1687,0
2025-05-25T22:32:04.014772,1687,0
2025-05-25T22:32:05.045181,1687,0
2025-05-25T22:32:06.097301,1632,0
2025-05-25T22:32:07.127200,1632,0
2025-05-25T22:32:08.173014,1632,0
2025-05-25T22:32:09.202628,1662,0
2025-05-25T22:32:10.234194,1662,0
2025-05-25T22:32:11.269505,1645,0
2025-05-25T22:32:12.300527,1645,0
2025-05-25T22:32:13.331375,1645,0
2025-05-25T22:32:14.365792,1687,0
2025-05-25T22:32:15.395174,1687,0
2025-05-25T22:32:16.438628,1637,0
2025-05-25T22:32:17.469504,1637,0
2025-05-25T22:32:18.514704,1622,0
2025-05-25T22:32:19.551551,1622,0
2025-05-25T22:32:20.584803,1622,0
2025-05-25T22:32:21.615683,1669,0
2025-05-25T22:32:22.645191,1669,0
2025-05-25T22:32:23.674574,1669,0
2025-05-25T22:32:24.708743,1646,0
2025-05-25T22:32:25.738419,1646,0
2025-05-25T22:32:26.783577,1693,0
2025-05-25T22:32:27.814532,1693,0
2025-05-25T22:32:28.856460,1693,0
2025-05-25T22:32:29.886032,1715,0
2025-05-25T22:32:30.918230,1715,0
2025-05-25T22:32:31.948053,1715,0
2025-05-25T22:32:32.978076,1653,0
2025-05-25T22:32:34.022879,1653,0
2025-05-25T22:32:35.056964,1650,0
2025-05-25T22:32:36.098626,1650,0
2025-05-25T22:32:37.128677,1650,0
2025-05-25T22:32:38.175110,1697,0
2025-05-25T22:32:39.216515,1697,0
2025-05-25T22:32:40.245389,1697,0
2025-05-25T22:32:41.293856,1671,0
2025-05-25T22:32:42.324963,1671,0
2025-05-25T22:32:43.368913,1671,0
2025-05-25T22:32:44.401327,1608,0
2025-05-25T22:32:45.444704,1667,0
2025-05-25T22:32:46.474618,1667,0
2025-05-25T22:32:47.504382,1667,0
2025-05-25T22:32:48.534753,1702,0
2025-05-25T22:32:49.564061,1702,0
2025-05-25T22:32:50.595365,1702,0
2025-05-25T22:32:51.629941,1719,0
2025-05-25T22:32:52.660722,1719,0
2025-05-25T22:32:53.724286,1667,0
2025-05-25T22:32:54.762952,1667,0
2025-05-25T22:32:55.793357,1667,0
2025-05-25T22:32:56.835114,1643,0
2025-05-25T22:32:57.867018,1643,0
2025-05-25T22:32:58.902280,1643,0
2025-05-25T22:32:59.938397,1652,0
2025-05-25T22:33:00.985822,1652,0
2025-05-25T22:33:02.040628,1673,0
2025-05-25T22:33:03.071599,1673,0
2025-05-25T22:33:04.103174,1673,0
2025-05-25T22:33:05.151760,1647,0
2025-05-25T22:33:06.182380,1647,0
2025-05-25T22:33:07.237570,1647,0
2025-05-25T22:33:08.281790,1683,0
2025-05-25T22:33:09.311692,1683,0
2025-05-25T22:33:10.348318,1683,0
2025-05-25T22:33:11.378366,1708,0
2025-05-25T22:33:12.410055,1644,0
2025-05-25T22:33:13.451215,1644,0
2025-05-25T22:33:14.481720,1644,0
2025-05-25T22:33:15.522591,1698,0
2025-05-25T22:33:16.552837,1698,0
2025-05-25T22:33:17.601193,1698,0
2025-05-25T22:33:18.652464,1654,0
2025-05-25T22:33:19.681514,1654,0
2025-05-25T22:33:20.711197,1650,0
