timestamp,power_W,under_attack
2025-05-25T15:01:07.123335,2225,1
2025-05-25T15:01:08.167390,2226,1
2025-05-25T15:01:09.197039,2226,1
2025-05-25T15:01:10.253577,2287,1
2025-05-25T15:01:11.288345,2287,1
2025-05-25T15:01:12.318536,2289,1
2025-05-25T15:01:13.362923,2289,1
2025-05-25T15:01:14.396086,2247,1
2025-05-25T15:01:15.437357,2247,1
2025-05-25T15:01:16.471692,2294,1
2025-05-25T15:01:17.504066,2294,1
2025-05-25T15:01:18.550992,2272,1
2025-05-25T15:01:19.582153,2272,1
2025-05-25T15:01:20.613773,2258,1
2025-05-25T15:01:21.657588,2258,1
2025-05-25T15:01:22.693056,2354,1
2025-05-25T15:01:23.733897,2354,1
2025-05-25T15:01:24.764370,2288,1
2025-05-25T15:01:25.794778,2288,1
2025-05-25T15:01:26.825402,2265,1
2025-05-25T15:01:27.866491,2265,1
2025-05-25T15:01:28.897534,2277,1
2025-05-25T15:01:29.927287,2277,1
2025-05-25T15:01:30.975826,2265,1
2025-05-25T15:01:32.025560,2214,1
2025-05-25T15:01:33.054932,2214,1
2025-05-25T15:01:34.085225,2267,1
2025-05-25T15:01:35.115991,2267,1
2025-05-25T15:01:36.146374,2284,1
2025-05-25T15:01:37.176206,2284,1
2025-05-25T15:01:38.206519,2212,1
2025-05-25T15:01:39.237518,2212,1
2025-05-25T15:01:40.294458,2244,1
2025-05-25T15:01:41.326153,2244,1
2025-05-25T15:01:42.372172,2337,1
2025-05-25T15:01:43.403171,2337,1
2025-05-25T15:01:44.433779,2310,1
2025-05-25T15:01:45.463811,2310,1
2025-05-25T15:01:46.493795,2358,1
2025-05-25T15:01:47.533151,2358,1
2025-05-25T15:01:48.565837,2304,1
2025-05-25T15:01:49.615408,2304,1
2025-05-25T15:01:50.664449,2274,1
2025-05-25T15:01:51.696781,2274,1
2025-05-25T15:01:52.728791,2355,1
2025-05-25T15:01:53.771814,2355,1
2025-05-25T15:01:54.802132,2301,1
2025-05-25T15:01:55.835394,2301,1
2025-05-25T15:01:56.880516,2301,1
2025-05-25T15:01:57.931938,2301,1
2025-05-25T15:01:58.962974,2301,1
2025-05-25T15:01:59.994874,2325,1
2025-05-25T15:02:01.039386,2325,1
2025-05-25T15:02:02.069268,2281,1
2025-05-25T15:02:03.100804,2281,1
2025-05-25T15:02:04.132378,2302,1
2025-05-25T15:02:05.210631,2302,1
2025-05-25T15:02:06.240206,2228,1
2025-05-25T15:02:08.189304,2215,0
2025-05-25T15:02:09.223473,2215,0
2025-05-25T15:02:10.254862,2232,0
2025-05-25T15:02:11.284912,2232,0
2025-05-25T15:02:12.315454,2146,0
2025-05-25T15:02:13.344831,2146,0
2025-05-25T15:02:14.375023,2219,0
2025-05-25T15:02:15.414958,2219,0
2025-05-25T15:02:16.448426,2220,0
2025-05-25T15:02:17.493347,2220,0
2025-05-25T15:02:18.523123,2260,0
2025-05-25T15:02:19.553287,2260,0
2025-05-25T15:02:20.584025,2211,0
2025-05-25T15:02:21.615170,2211,0
2025-05-25T15:02:22.660484,2173,0
2025-05-25T15:02:23.690963,2173,0
2025-05-25T15:02:24.734612,2174,0
2025-05-25T15:02:25.766038,2174,0
2025-05-25T15:02:26.808520,2177,0
2025-05-25T15:02:27.841652,2177,0
2025-05-25T15:02:28.870667,2163,0
2025-05-25T15:02:29.905076,2163,0
2025-05-25T15:02:30.936457,2163,0
2025-05-25T15:02:31.966020,2163,0
2025-05-25T15:02:32.995462,2203,0
2025-05-25T15:02:34.034958,2224,0
2025-05-25T15:02:35.079852,2224,0
2025-05-25T15:02:36.109656,2226,0
2025-05-25T15:02:37.151346,2226,0
2025-05-25T15:02:38.183342,2236,0
2025-05-25T15:02:39.212947,2236,0
2025-05-25T15:02:40.243061,2172,0
2025-05-25T15:02:41.276187,2172,0
2025-05-25T15:02:42.308391,2218,0
2025-05-25T15:02:43.337497,2218,0
2025-05-25T15:02:44.366991,2209,0
2025-05-25T15:02:45.396435,2209,0
2025-05-25T15:02:46.443393,2216,0
2025-05-25T15:02:47.472442,2216,0
2025-05-25T15:02:48.518413,2204,0
2025-05-25T15:02:49.548261,2204,0
2025-05-25T15:02:50.579540,2249,0
2025-05-25T15:02:51.613142,2249,0
2025-05-25T15:02:52.645301,2254,0
2025-05-25T15:02:53.674999,2254,0
2025-05-25T15:02:54.704718,2150,0
2025-05-25T15:02:55.761297,2150,0
2025-05-25T15:02:56.794924,2173,0
2025-05-25T15:02:57.839024,2173,0
2025-05-25T15:02:58.870005,2212,0
2025-05-25T15:02:59.903884,2212,0
2025-05-25T15:03:00.935976,2210,0
2025-05-25T15:03:01.965484,2210,0
2025-05-25T15:03:02.995620,2223,0
2025-05-25T15:03:04.025215,2179,0
2025-05-25T15:03:05.057329,2179,0
2025-05-25T15:03:06.107535,2196,0
2025-05-25T15:03:07.137973,2196,0
2025-05-25T15:03:08.177913,2209,0
2025-05-25T15:03:09.210093,2209,0
2025-05-25T15:03:10.240496,2244,0
2025-05-25T15:03:11.274433,2244,0
2025-05-25T15:03:12.305448,2189,0
2025-05-25T15:03:13.337436,2189,0
2025-05-25T15:03:14.370321,2207,0
2025-05-25T15:03:15.400684,2207,0
2025-05-25T15:03:16.448504,2186,0
2025-05-25T15:03:17.497110,2186,0
2025-05-25T15:03:18.527660,2240,0
2025-05-25T15:03:19.571019,2240,0
2025-05-25T15:03:20.600502,2239,0
2025-05-25T15:03:21.630528,2239,0
2025-05-25T15:03:22.673880,2271,0
2025-05-25T15:03:23.716940,2271,0
2025-05-25T15:03:24.749852,2244,0
2025-05-25T15:03:25.789607,2244,0
2025-05-25T15:03:26.819704,2199,0
2025-05-25T15:03:27.851128,2199,0
2025-05-25T15:03:28.881728,2231,0
