timestamp,power_W,under_attack
2025-05-25T21:25:16.217549,1747,1
2025-05-25T21:25:17.248586,1747,1
2025-05-25T21:25:18.294617,1715,1
2025-05-25T21:25:19.323907,1715,1
2025-05-25T21:25:20.358311,1715,1
2025-05-25T21:25:21.417891,1683,1
2025-05-25T21:25:22.465146,1632,1
2025-05-25T21:25:23.500154,1632,1
2025-05-25T21:25:24.540338,1632,1
2025-05-25T21:25:25.583451,1701,1
2025-05-25T21:25:26.613317,1701,1
2025-05-25T21:25:27.642847,1701,1
2025-05-25T21:25:28.681940,1774,1
2025-05-25T21:25:29.713494,1774,1
2025-05-25T21:25:30.762204,1774,1
2025-05-25T21:25:31.814206,1737,1
2025-05-25T21:25:32.848476,1737,1
2025-05-25T21:25:33.885876,1737,1
2025-05-25T21:25:34.915802,1787,1
2025-05-25T21:25:35.946770,1787,1
2025-05-25T21:25:37.003210,1787,1
2025-05-25T21:25:38.036110,1694,1
2025-05-25T21:25:39.078988,1694,1
2025-05-25T21:25:40.110127,1694,1
2025-05-25T21:25:41.150358,1759,1
2025-05-25T21:25:42.193647,1759,1
2025-05-25T21:25:43.224137,1759,1
2025-05-25T21:25:44.255514,1714,1
2025-05-25T21:25:45.299305,1714,1
2025-05-25T21:25:46.330203,1714,1
2025-05-25T21:25:47.372888,1733,1
2025-05-25T21:25:48.405083,1733,1
2025-05-25T21:25:49.440606,1790,1
2025-05-25T21:25:50.491849,1776,1
2025-05-25T21:25:51.526144,1776,1
2025-05-25T21:25:52.570985,1776,1
2025-05-25T21:25:53.622347,1792,1
2025-05-25T21:25:54.661404,1792,1
2025-05-25T21:25:55.706831,1792,1
2025-05-25T21:25:56.736447,1715,1
2025-05-25T21:25:57.765959,1715,1
2025-05-25T21:25:58.819699,1715,1
2025-05-25T21:25:59.867823,1723,1
2025-05-25T21:26:00.933802,1723,1
2025-05-25T21:26:01.966486,1723,1
2025-05-25T21:26:03.014181,1692,1
2025-05-25T21:26:04.046327,1692,1
2025-05-25T21:26:05.087185,1692,1
2025-05-25T21:26:06.121751,1809,1
2025-05-25T21:26:07.153110,1809,1
2025-05-25T21:26:08.184197,1809,1
2025-05-25T21:26:09.219849,1735,1
2025-05-25T21:26:10.252951,1735,1
2025-05-25T21:26:11.283864,1735,1
2025-05-25T21:26:12.332841,1773,1
2025-05-25T21:26:13.364074,1773,1
2025-05-25T21:26:14.408052,1773,1
2025-05-25T21:26:15.437471,1741,1
2025-05-25T21:26:17.329158,1741,0
2025-05-25T21:26:18.374331,1760,0
2025-05-25T21:26:19.406119,1760,0
2025-05-25T21:26:20.448686,1760,0
2025-05-25T21:26:21.487180,1690,0
2025-05-25T21:26:22.517062,1659,0
2025-05-25T21:26:23.548076,1659,0
2025-05-25T21:26:24.578086,1659,0
2025-05-25T21:26:25.609183,1762,0
2025-05-25T21:26:26.639085,1762,0
2025-05-25T21:26:27.671073,1762,0
2025-05-25T21:26:28.715626,1678,0
2025-05-25T21:26:29.745748,1678,0
2025-05-25T21:26:30.791289,1688,0
2025-05-25T21:26:31.820801,1688,0
2025-05-25T21:26:32.850452,1682,0
2025-05-25T21:26:33.881578,1682,0
2025-05-25T21:26:34.914486,1682,0
2025-05-25T21:26:35.949035,1664,0
2025-05-25T21:26:36.978304,1664,0
2025-05-25T21:26:38.007919,1682,0
2025-05-25T21:26:39.057616,1682,0
2025-05-25T21:26:40.090982,1682,0
2025-05-25T21:26:41.133216,1662,0
2025-05-25T21:26:42.164536,1662,0
2025-05-25T21:26:43.196850,1662,0
2025-05-25T21:26:44.229022,1662,0
2025-05-25T21:26:45.258798,1662,0
2025-05-25T21:26:46.290080,1687,0
2025-05-25T21:26:47.320297,1687,0
2025-05-25T21:26:48.378155,1682,0
2025-05-25T21:26:49.407609,1682,0
2025-05-25T21:26:50.455895,1637,0
2025-05-25T21:26:51.492777,1637,0
2025-05-25T21:26:52.525541,1647,0
2025-05-25T21:26:53.564029,1647,0
2025-05-25T21:26:54.593396,1647,0
2025-05-25T21:26:55.622978,1651,0
2025-05-25T21:26:56.673603,1651,0
2025-05-25T21:26:57.703724,1723,0
2025-05-25T21:26:58.751622,1723,0
2025-05-25T21:26:59.782011,1723,0
2025-05-25T21:27:00.813508,1644,0
2025-05-25T21:27:01.845797,1644,0
2025-05-25T21:27:02.875517,1644,0
2025-05-25T21:27:03.906902,1693,0
2025-05-25T21:27:04.940989,1693,0
2025-05-25T21:27:05.989214,1693,0
2025-05-25T21:27:07.022358,1666,0
2025-05-25T21:27:08.063757,1666,0
2025-05-25T21:27:09.096302,1722,0
