timestamp,power_W,under_attack
2025-05-25T11:44:13.612708,2116,0
2025-05-25T11:44:14.642636,2152,0
2025-05-25T11:44:15.672461,2187,0
2025-05-25T11:44:16.714976,2187,0
2025-05-25T11:44:17.745299,2169,0
2025-05-25T11:44:18.790594,2169,0
2025-05-25T11:44:19.820044,2174,0
2025-05-25T11:44:20.863677,2174,0
2025-05-25T11:44:21.893646,2159,0
2025-05-25T11:44:22.930880,2159,0
2025-05-25T11:44:23.967296,2202,0
2025-05-25T11:44:25.008866,2202,0
2025-05-25T11:44:26.039210,2115,0
2025-05-25T11:44:27.083695,2115,0
2025-05-25T11:44:28.115610,2199,0
2025-05-25T11:44:29.146394,2199,0
2025-05-25T11:44:30.176331,2147,0
2025-05-25T11:44:31.229536,2147,0
2025-05-25T11:44:32.259736,2178,0
2025-05-25T11:44:33.302398,2178,0
2025-05-25T11:44:34.331930,2164,0
2025-05-25T11:44:35.377791,2164,0
2025-05-25T11:44:36.439777,2204,0
2025-05-25T11:44:37.508010,2204,0
2025-05-25T11:44:38.554398,2114,0
2025-05-25T11:44:39.586783,2114,0
2025-05-25T11:44:40.616523,2182,0
2025-05-25T11:44:41.646823,2182,0
2025-05-25T11:44:42.684991,2141,0
2025-05-25T11:44:43.718822,2189,0
2025-05-25T11:44:44.748016,2189,0
2025-05-25T11:44:45.804148,2213,0
2025-05-25T11:44:46.858030,2213,0
2025-05-25T11:44:47.888046,2154,0
2025-05-25T11:44:48.917382,2154,0
2025-05-25T11:44:49.949527,2147,0
2025-05-25T11:44:50.991464,2147,0
2025-05-25T11:44:52.022591,2157,0
2025-05-25T11:44:53.065500,2157,0
2025-05-25T11:44:54.097489,2130,0
2025-05-25T11:44:55.158058,2130,0
2025-05-25T11:44:56.198568,2210,0
2025-05-25T11:44:57.227660,2210,0
2025-05-25T11:44:58.259054,2203,0
2025-05-25T11:44:59.313225,2203,0
2025-05-25T11:45:00.342602,2191,0
2025-05-25T11:45:01.387718,2191,0
2025-05-25T11:45:02.419177,2239,0
2025-05-25T11:45:03.449441,2239,0
2025-05-25T11:45:04.479785,2141,0
2025-05-25T11:45:05.509730,2141,0
2025-05-25T11:45:06.541016,2199,0
2025-05-25T11:45:07.570510,2199,0
2025-05-25T11:45:08.608453,2162,0
2025-05-25T11:45:09.655721,2162,0
2025-05-25T11:45:10.686813,2199,0
2025-05-25T11:45:11.728801,2180,0
2025-05-25T11:45:12.760609,2180,0
2025-05-25T11:45:13.790878,2136,0
2025-05-25T11:45:14.833368,2136,0
2025-05-25T11:45:15.863881,2204,0
2025-05-25T11:45:16.895033,2204,0
2025-05-25T11:45:17.924572,2209,0
2025-05-25T11:45:18.954410,2209,0
2025-05-25T11:45:19.997847,2133,0
2025-05-25T11:45:21.027080,2133,0
2025-05-25T11:45:22.072827,2200,0
2025-05-25T11:45:23.103170,2200,0
2025-05-25T11:45:24.133031,2165,0
2025-05-25T11:45:25.164208,2165,0
2025-05-25T11:45:26.195216,2165,0
2025-05-25T11:45:27.227299,2165,0
2025-05-25T11:45:28.257045,2106,0
2025-05-25T11:45:29.288075,2106,0
2025-05-25T11:45:30.339229,2211,0
2025-05-25T11:45:31.371753,2211,0
2025-05-25T11:45:32.417531,2204,0
2025-05-25T11:45:33.448563,2204,0
2025-05-25T11:45:34.478741,2129,0
2025-05-25T11:45:35.510513,2129,0
2025-05-25T11:45:36.548167,2124,0
2025-05-25T11:45:37.579003,2124,0
2025-05-25T11:45:38.613499,2208,0
2025-05-25T11:45:39.670489,2208,0
2025-05-25T11:45:40.708727,2210,0
2025-05-25T11:45:41.741528,2208,0
2025-05-25T11:45:42.771126,2208,0
2025-05-25T11:45:43.801457,2144,0
2025-05-25T11:45:44.849030,2144,0
2025-05-25T11:45:45.879938,2149,0
2025-05-25T11:45:46.909384,2149,0
2025-05-25T11:45:47.952998,2184,0
2025-05-25T11:45:48.986143,2184,0
2025-05-25T11:45:50.036772,2178,0
2025-05-25T11:45:51.066864,2178,0
2025-05-25T11:45:52.111528,2156,0
2025-05-25T11:45:53.157301,2156,0
2025-05-25T11:45:54.199852,2139,0
2025-05-25T11:45:55.232876,2139,0
2025-05-25T11:45:56.274151,2146,0
2025-05-25T11:45:57.321485,2146,0
2025-05-25T11:45:58.356943,2139,0
2025-05-25T11:45:59.401869,2139,0
2025-05-25T11:46:00.446038,2206,0
2025-05-25T11:46:01.475512,2206,0
2025-05-25T11:46:02.523376,2188,0
2025-05-25T11:46:03.560600,2188,0
2025-05-25T11:46:04.621087,2216,0
2025-05-25T11:46:05.670937,2216,0
2025-05-25T11:46:06.701732,2249,0
2025-05-25T11:46:07.751859,2189,0
2025-05-25T11:46:08.782522,2189,0
2025-05-25T11:46:09.812764,2189,0
2025-05-25T11:46:10.841896,2189,0
2025-05-25T11:46:11.873290,2186,0
2025-05-25T11:46:12.907608,2186,0
2025-05-25T11:46:13.939422,2133,0
2025-05-25T11:46:14.989646,2133,0
2025-05-25T11:46:16.049299,2163,0
2025-05-25T11:46:17.085360,2163,0
2025-05-25T11:46:18.114989,2205,0
2025-05-25T11:46:19.168544,2205,0
2025-05-25T11:46:20.208273,2092,0
2025-05-25T11:46:21.239139,2092,0
2025-05-25T11:46:22.287857,2163,0
2025-05-25T11:46:23.319351,2163,0
2025-05-25T11:46:24.359396,2236,0
2025-05-25T11:46:25.390561,2236,0
2025-05-25T11:46:26.427866,2184,0
2025-05-25T11:46:27.461776,2184,0
2025-05-25T11:46:28.502785,2160,0
2025-05-25T11:46:29.531821,2160,0
2025-05-25T11:46:30.580375,2165,0
2025-05-25T11:46:31.622388,2165,0
2025-05-25T11:46:32.651303,2188,0
2025-05-25T11:46:33.688999,2188,0
2025-05-25T11:46:34.721849,2202,0
2025-05-25T11:46:35.752149,2175,0
2025-05-25T11:46:36.801774,2175,0
2025-05-25T11:46:37.847200,2119,0
2025-05-25T11:46:38.890604,2119,0
2025-05-25T11:46:39.923388,2140,0
2025-05-25T11:46:40.974345,2140,0
2025-05-25T11:46:42.003323,2149,0
2025-05-25T11:46:43.044475,2149,0
2025-05-25T11:46:44.073656,2166,0
2025-05-25T11:46:45.118062,2166,0
2025-05-25T11:46:46.150441,2155,0
2025-05-25T11:46:47.181741,2155,0
2025-05-25T11:46:48.224309,2159,0
2025-05-25T11:46:49.253546,2159,0
2025-05-25T11:46:50.283724,2186,0
2025-05-25T11:46:51.339315,2186,0
2025-05-25T11:46:52.371461,2194,0
2025-05-25T11:46:53.411804,2194,0
2025-05-25T11:46:54.444572,2157,0
