timestamp,power_W,under_attack
2025-05-25T19:15:12.967962,1698,1
2025-05-25T19:15:14.011082,1712,1
2025-05-25T19:15:15.042447,1712,1
2025-05-25T19:15:16.077996,1712,1
2025-05-25T19:15:17.136054,1766,1
2025-05-25T19:15:18.180644,1766,1
2025-05-25T19:15:19.215898,1766,1
2025-05-25T19:15:20.246595,1736,1
2025-05-25T19:15:21.277823,1736,1
2025-05-25T19:15:22.321055,1749,1
2025-05-25T19:15:23.389807,1749,1
2025-05-25T19:15:24.429178,1838,1
2025-05-25T19:15:25.462288,1838,1
2025-05-25T19:15:26.524022,1704,1
2025-05-25T19:15:27.598165,1704,1
2025-05-25T19:15:28.628707,1704,1
2025-05-25T19:15:29.666500,1754,1
2025-05-25T19:15:30.698756,1754,1
2025-05-25T19:15:31.734775,1754,1
2025-05-25T19:15:32.766645,1782,1
2025-05-25T19:15:33.802099,1782,1
2025-05-25T19:15:34.846352,1782,1
2025-05-25T19:15:35.895631,1741,1
2025-05-25T19:15:36.934205,1741,1
2025-05-25T19:15:37.969546,1741,1
2025-05-25T19:15:38.998751,1785,1
2025-05-25T19:15:40.074135,1785,1
2025-05-25T19:15:41.120512,1785,1
2025-05-25T19:15:42.151662,1733,1
2025-05-25T19:15:43.181121,1733,1
2025-05-25T19:15:44.213850,1733,1
2025-05-25T19:15:45.251627,1702,1
2025-05-25T19:15:46.282051,1702,1
2025-05-25T19:15:47.315433,1698,1
2025-05-25T19:15:48.365134,1698,1
2025-05-25T19:15:49.415135,1698,1
2025-05-25T19:15:50.454300,1658,1
2025-05-25T19:15:51.485454,1658,1
2025-05-25T19:15:52.521605,1709,1
2025-05-25T19:15:53.554387,1709,1
2025-05-25T19:15:54.584426,1709,1
2025-05-25T19:15:55.614714,1747,1
2025-05-25T19:15:56.659057,1747,1
2025-05-25T19:15:57.708972,1710,1
2025-05-25T19:15:58.742434,1710,1
2025-05-25T19:15:59.772691,1680,1
2025-05-25T19:16:00.804640,1680,1
2025-05-25T19:16:01.838692,1680,1
2025-05-25T19:16:02.872337,1727,1
2025-05-25T19:16:03.906669,1727,1
2025-05-25T19:16:04.950468,1690,1
2025-05-25T19:16:05.993063,1690,1
2025-05-25T19:16:07.026928,1658,1
2025-05-25T19:16:08.067096,1658,1
2025-05-25T19:16:09.096686,1658,1
2025-05-25T19:16:10.129066,1695,1
2025-05-25T19:16:11.173513,1695,1
2025-05-25T19:16:12.220083,1697,1
2025-05-25T19:16:24.100312,1725,0
2025-05-25T19:16:25.130261,1741,0
2025-05-25T19:16:26.183808,1741,0
2025-05-25T19:16:27.214291,1741,0
2025-05-25T19:16:28.243635,1690,0
2025-05-25T19:16:29.287774,1690,0
2025-05-25T19:16:30.318943,1671,0
2025-05-25T19:16:31.348157,1671,0
2025-05-25T19:16:32.454377,1668,0
